request_id,timestamp,latency_sec,bytes_sent,http_status,outcome,error_type
10,13:21:55.834910,2.0231,0,0,failed,ConnectionRefusedError
5,13:21:55.836177,2.0274,0,0,failed,ConnectionRefusedError
0,13:21:55.836735,2.0301,0,0,failed,ConnectionRefusedError
6,13:21:55.837614,2.0285,0,0,failed,ConnectionRefusedError
1,13:21:55.838120,2.0309,0,0,failed,ConnectionRefusedError
4,13:21:55.838575,2.0303,0,0,failed,ConnectionRefusedError
2,13:21:55.838975,2.0314,0,0,failed,ConnectionRefusedError
3,13:21:55.839726,2.0317,0,0,failed,ConnectionRefusedError
11,13:21:55.840109,2.0299,0,0,failed,ConnectionRefusedError
21,13:21:55.840644,2.028,0,0,failed,ConnectionRefusedError
12,13:21:55.841303,2.0306,0,0,failed,ConnectionRefusedError
8,13:21:55.842343,2.0325,0,0,failed,ConnectionRefusedError
13,13:21:55.843109,2.0321,0,0,failed,ConnectionRefusedError
7,13:21:55.844076,2.0346,0,0,failed,ConnectionRefusedError
14,13:21:55.844847,2.0336,0,0,failed,ConnectionRefusedError
9,13:21:55.845868,2.0358,0,0,failed,ConnectionRefusedError
16,13:21:55.851885,2.0349,0,0,failed,ConnectionRefusedError
28,13:21:55.852406,2.0381,0,0,failed,ConnectionRefusedError
15,13:21:55.852818,2.0416,0,0,failed,ConnectionRefusedError
22,13:21:55.853370,2.0405,0,0,failed,ConnectionRefusedError
19,13:21:55.853855,2.0417,0,0,failed,ConnectionRefusedError
18,13:21:55.854524,2.0425,0,0,failed,ConnectionRefusedError
17,13:21:55.855032,2.0434,0,0,failed,ConnectionRefusedError
20,13:21:55.855557,2.0432,0,0,failed,ConnectionRefusedError
25,13:21:55.855861,2.0423,0,0,failed,ConnectionRefusedError
26,13:21:55.856502,2.0426,0,0,failed,ConnectionRefusedError
27,13:21:55.857186,2.043,0,0,failed,ConnectionRefusedError
23,13:21:55.858085,2.0447,0,0,failed,ConnectionRefusedError
30,13:21:55.858724,2.0439,0,0,failed,ConnectionRefusedError
24,13:21:55.859549,2.046,0,0,failed,ConnectionRefusedError
29,13:21:55.860302,2.0455,0,0,failed,ConnectionRefusedError
31,13:21:55.861074,2.0461,0,0,failed,ConnectionRefusedError
34,13:21:55.861621,2.0461,0,0,failed,ConnectionRefusedError
32,13:21:55.866640,2.0481,0,0,failed,ConnectionRefusedError
33,13:21:55.867278,2.0519,0,0,failed,ConnectionRefusedError
39,13:21:55.868130,2.0515,0,0,failed,ConnectionRefusedError
41,13:21:55.873958,2.0568,0,0,failed,ConnectionRefusedError
37,13:21:55.874873,2.0587,0,0,failed,ConnectionRefusedError
42,13:21:55.875509,2.0584,0,0,failed,ConnectionRefusedError
38,13:21:55.876286,2.06,0,0,failed,ConnectionRefusedError
40,13:21:55.876872,2.0601,0,0,failed,ConnectionRefusedError
36,13:21:55.880411,2.062,0,0,failed,ConnectionRefusedError
35,13:21:55.881002,2.0653,0,0,failed,ConnectionRefusedError
52,13:21:55.881848,2.063,0,0,failed,ConnectionRefusedError
54,13:21:55.882483,2.0632,0,0,failed,ConnectionRefusedError
44,13:21:55.883280,2.0658,0,0,failed,ConnectionRefusedError
53,13:21:55.883899,2.0648,0,0,failed,ConnectionRefusedError
43,13:21:55.884885,2.0675,0,0,failed,ConnectionRefusedError
45,13:21:55.885465,2.0678,0,0,failed,ConnectionRefusedError
51,13:21:55.886315,2.0675,0,0,failed,ConnectionRefusedError
46,13:21:55.886932,2.0691,0,0,failed,ConnectionRefusedError
61,13:21:55.887618,2.0671,0,0,failed,ConnectionRefusedError
47,13:21:55.888252,2.0702,0,0,failed,ConnectionRefusedError
59,13:21:55.888940,2.0688,0,0,failed,ConnectionRefusedError
48,13:21:55.889423,2.0713,0,0,failed,ConnectionRefusedError
60,13:21:55.890287,2.0698,0,0,failed,ConnectionRefusedError
62,13:21:55.891069,2.0704,0,0,failed,ConnectionRefusedError
64,13:21:55.891741,2.0707,0,0,failed,ConnectionRefusedError
49,13:21:55.892322,2.0739,0,0,failed,ConnectionRefusedError
66,13:21:55.893048,2.0716,0,0,failed,ConnectionRefusedError
58,13:21:55.898587,2.0738,0,0,failed,ConnectionRefusedError
57,13:21:55.899274,2.0794,0,0,failed,ConnectionRefusedError
65,13:21:55.899887,2.0788,0,0,failed,ConnectionRefusedError
63,13:21:55.900595,2.0797,0,0,failed,ConnectionRefusedError
56,13:21:55.901187,2.0816,0,0,failed,ConnectionRefusedError
73,13:21:55.901842,2.0794,0,0,failed,ConnectionRefusedError
50,13:21:55.902518,2.0839,0,0,failed,ConnectionRefusedError
67,13:21:55.903164,2.0816,0,0,failed,ConnectionRefusedError
71,13:21:55.903785,2.0817,0,0,failed,ConnectionRefusedError
74,13:21:55.904366,2.0818,0,0,failed,ConnectionRefusedError
72,13:21:55.905055,2.0827,0,0,failed,ConnectionRefusedError
86,13:21:55.905596,2.0813,0,0,failed,ConnectionRefusedError
69,13:21:55.906203,2.0844,0,0,failed,ConnectionRefusedError
55,13:21:55.906909,2.0874,0,0,failed,ConnectionRefusedError
68,13:21:55.907569,2.0859,0,0,failed,ConnectionRefusedError
84,13:21:55.908137,2.0841,0,0,failed,ConnectionRefusedError
78,13:21:55.908814,2.0856,0,0,failed,ConnectionRefusedError
85,13:21:55.913627,2.0852,0,0,failed,ConnectionRefusedError
83,13:21:55.914194,2.0903,0,0,failed,ConnectionRefusedError
91,13:21:55.914752,2.0897,0,0,failed,ConnectionRefusedError
76,13:21:55.915356,2.0925,0,0,failed,ConnectionRefusedError
70,13:21:55.915842,2.094,0,0,failed,ConnectionRefusedError
77,13:21:55.916375,2.0934,0,0,failed,ConnectionRefusedError
81,13:21:55.916986,2.0933,0,0,failed,ConnectionRefusedError
92,13:21:55.917591,2.0924,0,0,failed,ConnectionRefusedError
94,13:21:55.918239,2.0928,0,0,failed,ConnectionRefusedError
101,13:21:55.918742,2.0925,0,0,failed,ConnectionRefusedError
79,13:21:55.919340,2.096,0,0,failed,ConnectionRefusedError
93,13:21:55.919925,2.0946,0,0,failed,ConnectionRefusedError
82,13:21:55.920588,2.0968,0,0,failed,ConnectionRefusedError
100,13:21:55.921198,2.095,0,0,failed,ConnectionRefusedError
102,13:21:55.921690,2.0953,0,0,failed,ConnectionRefusedError
88,13:21:55.922398,2.0978,0,0,failed,ConnectionRefusedError
90,13:21:55.922904,2.0981,0,0,failed,ConnectionRefusedError
99,13:21:55.923456,2.0974,0,0,failed,ConnectionRefusedError
109,13:21:55.924082,2.0967,0,0,failed,ConnectionRefusedError
87,13:21:55.924576,2.1001,0,0,failed,ConnectionRefusedError
107,13:21:55.928222,2.098,0,0,failed,ConnectionRefusedError
108,13:21:55.928720,2.1016,0,0,failed,ConnectionRefusedError
98,13:21:55.929121,2.1033,0,0,failed,ConnectionRefusedError
75,13:21:55.929622,2.107,0,0,failed,ConnectionRefusedError
96,13:21:55.930003,2.1045,0,0,failed,ConnectionRefusedError
110,13:21:55.930428,2.103,0,0,failed,ConnectionRefusedError
114,13:21:55.930880,2.103,0,0,failed,ConnectionRefusedError
97,13:21:55.931340,2.1056,0,0,failed,ConnectionRefusedError
112,13:21:55.931729,2.1041,0,0,failed,ConnectionRefusedError
103,13:21:55.932250,2.1057,0,0,failed,ConnectionRefusedError
111,13:21:55.932605,2.1051,0,0,failed,ConnectionRefusedError
105,13:21:55.932919,2.1063,0,0,failed,ConnectionRefusedError
80,13:21:55.933326,2.11,0,0,failed,ConnectionRefusedError
113,13:21:55.933726,2.106,0,0,failed,ConnectionRefusedError
119,13:21:55.934136,2.1056,0,0,failed,ConnectionRefusedError
104,13:21:55.934508,2.108,0,0,failed,ConnectionRefusedError
121,13:21:55.934732,2.1061,0,0,failed,ConnectionRefusedError
116,13:21:55.934989,2.107,0,0,failed,ConnectionRefusedError
122,13:21:55.935277,2.1064,0,0,failed,ConnectionRefusedError
118,13:21:55.935565,2.1073,0,0,failed,ConnectionRefusedError
89,13:21:55.935827,2.1113,0,0,failed,ConnectionRefusedError
120,13:21:55.935979,2.1075,0,0,failed,ConnectionRefusedError
130,13:21:55.936227,2.1063,0,0,failed,ConnectionRefusedError
115,13:21:55.936396,2.1086,0,0,failed,ConnectionRefusedError
128,13:21:55.936568,2.107,0,0,failed,ConnectionRefusedError
127,13:21:55.936720,2.1074,0,0,failed,ConnectionRefusedError
123,13:21:55.936866,2.108,0,0,failed,ConnectionRefusedError
95,13:21:55.937023,2.1118,0,0,failed,ConnectionRefusedError
129,13:21:55.937198,2.1075,0,0,failed,ConnectionRefusedError
126,13:21:55.937392,2.1081,0,0,failed,ConnectionRefusedError
135,13:21:55.937643,2.1072,0,0,failed,ConnectionRefusedError
137,13:21:55.937977,2.1072,0,0,failed,ConnectionRefusedError
138,13:21:55.938226,2.1074,0,0,failed,ConnectionRefusedError
134,13:21:55.938400,2.1081,0,0,failed,ConnectionRefusedError
106,13:21:55.938604,2.1119,0,0,failed,ConnectionRefusedError
136,13:21:55.938822,2.1083,0,0,failed,ConnectionRefusedError
125,13:21:55.939076,2.1099,0,0,failed,ConnectionRefusedError
139,13:21:55.939285,2.1084,0,0,failed,ConnectionRefusedError
117,13:21:55.939492,2.1114,0,0,failed,ConnectionRefusedError
131,13:21:55.939671,2.1097,0,0,failed,ConnectionRefusedError
132,13:21:55.939897,2.1098,0,0,failed,ConnectionRefusedError
124,13:21:55.942422,2.1114,0,0,failed,ConnectionRefusedError
142,13:21:55.942715,2.1114,0,0,failed,ConnectionRefusedError
141,13:21:55.943036,2.1118,0,0,failed,ConnectionRefusedError
133,13:21:55.943248,2.1131,0,0,failed,ConnectionRefusedError
140,13:21:55.943488,2.1124,0,0,failed,ConnectionRefusedError
143,13:21:55.943785,2.1124,0,0,failed,ConnectionRefusedError
147,13:21:55.943979,2.1122,0,0,failed,ConnectionRefusedError
150,13:21:55.944154,2.1121,0,0,failed,ConnectionRefusedError
144,13:21:55.944319,2.1129,0,0,failed,ConnectionRefusedError
149,13:21:55.944488,2.1125,0,0,failed,ConnectionRefusedError
158,13:21:55.944726,2.1117,0,0,failed,ConnectionRefusedError
153,13:21:55.944920,2.1125,0,0,failed,ConnectionRefusedError
156,13:21:55.945145,2.1123,0,0,failed,ConnectionRefusedError
155,13:21:55.945319,2.1127,0,0,failed,ConnectionRefusedError
146,13:21:55.945530,2.1138,0,0,failed,ConnectionRefusedError
148,13:21:55.945667,2.1138,0,0,failed,ConnectionRefusedError
145,13:21:55.945874,2.1143,0,0,failed,ConnectionRefusedError
164,13:21:55.946118,2.1124,0,0,failed,ConnectionRefusedError
159,13:21:55.946366,2.1132,0,0,failed,ConnectionRefusedError
166,13:21:55.946536,2.1126,0,0,failed,ConnectionRefusedError
151,13:21:55.946744,2.1145,0,0,failed,ConnectionRefusedError
173,13:21:55.946902,2.1123,0,0,failed,ConnectionRefusedError
157,13:21:55.947155,2.1142,0,0,failed,ConnectionRefusedError
152,13:21:55.947433,2.115,0,0,failed,ConnectionRefusedError
171,13:21:55.947737,2.1132,0,0,failed,ConnectionRefusedError
170,13:21:55.947936,2.1136,0,0,failed,ConnectionRefusedError
161,13:21:55.948099,2.1148,0,0,failed,ConnectionRefusedError
178,13:21:55.948277,2.1131,0,0,failed,ConnectionRefusedError
162,13:21:55.948480,2.115,0,0,failed,ConnectionRefusedError
163,13:21:55.948648,2.1151,0,0,failed,ConnectionRefusedError
176,13:21:55.948782,2.1138,0,0,failed,ConnectionRefusedError
181,13:21:55.948948,2.1134,0,0,failed,ConnectionRefusedError
168,13:21:55.949132,2.115,0,0,failed,ConnectionRefusedError
183,13:21:55.949346,2.1136,0,0,failed,ConnectionRefusedError
165,13:21:55.949494,2.1157,0,0,failed,ConnectionRefusedError
167,13:21:55.949732,2.1157,0,0,failed,ConnectionRefusedError
174,13:21:55.949985,2.1152,0,0,failed,ConnectionRefusedError
185,13:21:55.950198,2.1143,0,0,failed,ConnectionRefusedError
188,13:21:55.950405,2.1141,0,0,failed,ConnectionRefusedError
179,13:21:55.950598,2.1153,0,0,failed,ConnectionRefusedError
198,13:21:55.950766,2.1133,0,0,failed,ConnectionRefusedError
172,13:21:55.950968,2.1164,0,0,failed,ConnectionRefusedError
180,13:21:55.951115,2.1157,0,0,failed,ConnectionRefusedError
177,13:21:55.951336,2.1162,0,0,failed,ConnectionRefusedError
196,13:21:55.951472,2.1143,0,0,failed,ConnectionRefusedError
193,13:21:55.951640,2.1148,0,0,failed,ConnectionRefusedError
190,13:21:55.951836,2.1154,0,0,failed,ConnectionRefusedError
203,13:21:55.951992,2.114,0,0,failed,ConnectionRefusedError
175,13:21:55.952137,2.1173,0,0,failed,ConnectionRefusedError
189,13:21:55.952318,2.1159,0,0,failed,ConnectionRefusedError
184,13:21:55.952515,2.1167,0,0,failed,ConnectionRefusedError
200,13:21:55.952687,2.115,0,0,failed,ConnectionRefusedError
205,13:21:55.952867,2.1147,0,0,failed,ConnectionRefusedError
208,13:21:55.953062,2.1146,0,0,failed,ConnectionRefusedError
186,13:21:55.953242,2.1172,0,0,failed,ConnectionRefusedError
192,13:21:55.953392,2.1167,0,0,failed,ConnectionRefusedError
197,13:21:55.953538,2.1162,0,0,failed,ConnectionRefusedError
210,13:21:55.953721,2.115,0,0,failed,ConnectionRefusedError
217,13:21:55.953967,2.1145,0,0,failed,ConnectionRefusedError
195,13:21:55.954235,2.117,0,0,failed,ConnectionRefusedError
211,13:21:55.954512,2.1156,0,0,failed,ConnectionRefusedError
201,13:21:55.954819,2.1169,0,0,failed,ConnectionRefusedError
204,13:21:55.955018,2.117,0,0,failed,ConnectionRefusedError
215,13:21:55.955258,2.116,0,0,failed,ConnectionRefusedError
191,13:21:55.958084,2.1189,0,0,failed,ConnectionRefusedError
223,13:21:55.958475,2.1183,0,0,failed,ConnectionRefusedError
206,13:21:55.958713,2.1204,0,0,failed,ConnectionRefusedError
222,13:21:55.958927,2.1189,0,0,failed,ConnectionRefusedError
214,13:21:55.959335,2.12,0,0,failed,ConnectionRefusedError
207,13:21:55.959671,2.1212,0,0,failed,ConnectionRefusedError
225,13:21:55.960033,2.1196,0,0,failed,ConnectionRefusedError
202,13:21:55.960325,2.1224,0,0,failed,ConnectionRefusedError
234,13:21:55.960533,2.1193,0,0,failed,ConnectionRefusedError
209,13:21:55.960697,2.1221,0,0,failed,ConnectionRefusedError
228,13:21:55.960874,2.1203,0,0,failed,ConnectionRefusedError
219,13:21:55.961061,2.1214,0,0,failed,ConnectionRefusedError
218,13:21:55.961292,2.1217,0,0,failed,ConnectionRefusedError
232,13:21:55.961433,2.1204,0,0,failed,ConnectionRefusedError
213,13:21:55.961586,2.1226,0,0,failed,ConnectionRefusedError
245,13:21:55.961748,2.1194,0,0,failed,ConnectionRefusedError
216,13:21:55.961922,2.1226,0,0,failed,ConnectionRefusedError
154,13:21:55.962076,2.1296,0,0,failed,ConnectionRefusedError
237,13:21:55.962255,2.1207,0,0,failed,ConnectionRefusedError
224,13:21:55.962558,2.1222,0,0,failed,ConnectionRefusedError
229,13:21:55.962975,2.1221,0,0,failed,ConnectionRefusedError
243,13:21:55.963233,2.121,0,0,failed,ConnectionRefusedError
220,13:21:55.963486,2.1237,0,0,failed,ConnectionRefusedError
226,13:21:55.963862,2.1233,0,0,failed,ConnectionRefusedError
160,13:21:55.964187,2.1309,0,0,failed,ConnectionRefusedError
242,13:21:55.964443,2.1223,0,0,failed,ConnectionRefusedError
233,13:21:55.964616,2.1235,0,0,failed,ConnectionRefusedError
236,13:21:55.964910,2.1233,0,0,failed,ConnectionRefusedError
254,13:21:55.965174,2.1218,0,0,failed,ConnectionRefusedError
230,13:21:55.965351,2.1246,0,0,failed,ConnectionRefusedError
169,13:21:55.965548,2.1313,0,0,failed,ConnectionRefusedError
231,13:21:55.965750,2.1249,0,0,failed,ConnectionRefusedError
247,13:21:55.965950,2.1233,0,0,failed,ConnectionRefusedError
252,13:21:55.966285,2.123,0,0,failed,ConnectionRefusedError
246,13:21:55.966516,2.124,0,0,failed,ConnectionRefusedError
239,13:21:55.966886,2.125,0,0,failed,ConnectionRefusedError
260,13:21:55.967080,2.123,0,0,failed,ConnectionRefusedError
235,13:21:55.967319,2.1259,0,0,failed,ConnectionRefusedError
182,13:21:55.967601,2.1319,0,0,failed,ConnectionRefusedError
244,13:21:55.967919,2.1255,0,0,failed,ConnectionRefusedError
257,13:21:55.968332,2.1244,0,0,failed,ConnectionRefusedError
269,13:21:55.968560,2.1235,0,0,failed,ConnectionRefusedError
251,13:21:55.968798,2.1257,0,0,failed,ConnectionRefusedError
250,13:21:55.969022,2.1261,0,0,failed,ConnectionRefusedError
262,13:21:55.969225,2.1249,0,0,failed,ConnectionRefusedError
240,13:21:55.969570,2.1276,0,0,failed,ConnectionRefusedError
187,13:21:55.969755,2.1336,0,0,failed,ConnectionRefusedError
253,13:21:55.970010,2.1267,0,0,failed,ConnectionRefusedError
264,13:21:55.970178,2.1257,0,0,failed,ConnectionRefusedError
261,13:21:55.970402,2.1262,0,0,failed,ConnectionRefusedError
256,13:21:55.970576,2.127,0,0,failed,ConnectionRefusedError
274,13:21:55.970796,2.1251,0,0,failed,ConnectionRefusedError
267,13:21:55.970966,2.1261,0,0,failed,ConnectionRefusedError
249,13:21:55.971172,2.1283,0,0,failed,ConnectionRefusedError
194,13:21:55.974077,2.1344,0,0,failed,ConnectionRefusedError
259,13:21:55.974317,2.1303,0,0,failed,ConnectionRefusedError
268,13:21:55.974516,2.1295,0,0,failed,ConnectionRefusedError
265,13:21:55.974664,2.1301,0,0,failed,ConnectionRefusedError
275,13:21:55.974810,2.1291,0,0,failed,ConnectionRefusedError
272,13:21:55.974978,2.1296,0,0,failed,ConnectionRefusedError
255,13:21:55.975195,2.1318,0,0,failed,ConnectionRefusedError
270,13:21:55.975355,2.1302,0,0,failed,ConnectionRefusedError
199,13:21:55.975557,2.138,0,0,failed,ConnectionRefusedError
271,13:21:55.975756,2.1304,0,0,failed,ConnectionRefusedError
278,13:21:55.975963,2.1299,0,0,failed,ConnectionRefusedError
286,13:21:55.976118,2.1292,0,0,failed,ConnectionRefusedError
281,13:21:55.976269,2.1299,0,0,failed,ConnectionRefusedError
266,13:21:55.976462,2.1317,0,0,failed,ConnectionRefusedError
279,13:21:55.976632,2.1305,0,0,failed,ConnectionRefusedError
212,13:21:55.976834,2.1379,0,0,failed,ConnectionRefusedError
273,13:21:55.977059,2.1315,0,0,failed,ConnectionRefusedError
282,13:21:55.977236,2.1308,0,0,failed,ConnectionRefusedError
283,13:21:55.977462,2.1308,0,0,failed,ConnectionRefusedError
292,13:21:55.977624,2.1301,0,0,failed,ConnectionRefusedError
277,13:21:55.977818,2.1319,0,0,failed,ConnectionRefusedError
287,13:21:55.977971,2.131,0,0,failed,ConnectionRefusedError
289,13:21:55.978170,2.1309,0,0,failed,ConnectionRefusedError
221,13:21:55.978340,2.1385,0,0,failed,ConnectionRefusedError
280,13:21:55.978596,2.1323,0,0,failed,ConnectionRefusedError
293,13:21:55.978828,2.1312,0,0,failed,ConnectionRefusedError
288,13:21:55.979022,2.1319,0,0,failed,ConnectionRefusedError
284,13:21:55.979241,2.1325,0,0,failed,ConnectionRefusedError
298,13:21:55.979399,2.1313,0,0,failed,ConnectionRefusedError
296,13:21:55.979640,2.1316,0,0,failed,ConnectionRefusedError
227,13:21:55.979812,2.1393,0,0,failed,ConnectionRefusedError
300,13:21:55.980031,2.1317,0,0,failed,ConnectionRefusedError
297,13:21:55.980200,2.1322,0,0,failed,ConnectionRefusedError
294,13:21:55.980454,2.1327,0,0,failed,ConnectionRefusedError
238,13:21:55.980614,2.139,0,0,failed,ConnectionRefusedError
299,13:21:55.980901,2.1326,0,0,failed,ConnectionRefusedError
290,13:21:55.981135,2.1338,0,0,failed,ConnectionRefusedError
241,13:21:55.981300,2.1393,0,0,failed,ConnectionRefusedError
295,13:21:55.981487,2.1336,0,0,failed,ConnectionRefusedError
248,13:21:55.981672,2.139,0,0,failed,ConnectionRefusedError
258,13:21:55.981902,2.138,0,0,failed,ConnectionRefusedError
263,13:21:55.982103,2.1377,0,0,failed,ConnectionRefusedError
276,13:21:55.982342,2.1365,0,0,failed,ConnectionRefusedError
285,13:21:55.982560,2.1357,0,0,failed,ConnectionRefusedError
291,13:21:55.982787,2.1353,0,0,failed,ConnectionRefusedError
309,13:21:55.989581,2.1396,0,0,failed,ConnectionRefusedError
304,13:21:55.990224,2.1412,0,0,failed,ConnectionRefusedError
310,13:21:55.990514,2.1411,0,0,failed,ConnectionRefusedError
303,13:21:55.990895,2.1421,0,0,failed,ConnectionRefusedError
308,13:21:55.991265,2.1419,0,0,failed,ConnectionRefusedError
307,13:21:55.991537,2.1424,0,0,failed,ConnectionRefusedError
301,13:21:55.991914,2.1434,0,0,failed,ConnectionRefusedError
302,13:21:55.992112,2.1435,0,0,failed,ConnectionRefusedError
313,13:21:55.992252,2.1425,0,0,failed,ConnectionRefusedError
316,13:21:55.992416,2.1423,0,0,failed,ConnectionRefusedError
314,13:21:55.992594,2.1427,0,0,failed,ConnectionRefusedError
315,13:21:55.992792,2.1428,0,0,failed,ConnectionRefusedError
317,13:21:55.992940,2.1428,0,0,failed,ConnectionRefusedError
306,13:21:55.993149,2.1441,0,0,failed,ConnectionRefusedError
318,13:21:55.993334,2.143,0,0,failed,ConnectionRefusedError
305,13:21:55.993562,2.1447,0,0,failed,ConnectionRefusedError
324,13:21:55.993768,2.1427,0,0,failed,ConnectionRefusedError
321,13:21:55.993979,2.1433,0,0,failed,ConnectionRefusedError
323,13:21:55.994135,2.1433,0,0,failed,ConnectionRefusedError
322,13:21:55.994284,2.1435,0,0,failed,ConnectionRefusedError
312,13:21:55.994439,2.1448,0,0,failed,ConnectionRefusedError
320,13:21:55.994718,2.1441,0,0,failed,ConnectionRefusedError
319,13:21:55.995026,2.1445,0,0,failed,ConnectionRefusedError
311,13:21:55.995229,2.1456,0,0,failed,ConnectionRefusedError
328,13:21:55.995406,2.144,0,0,failed,ConnectionRefusedError
333,13:21:55.995577,2.1437,0,0,failed,ConnectionRefusedError
327,13:21:55.995762,2.1444,0,0,failed,ConnectionRefusedError
334,13:21:55.995970,2.1439,0,0,failed,ConnectionRefusedError
325,13:21:55.996337,2.145,0,0,failed,ConnectionRefusedError
329,13:21:55.996561,2.145,0,0,failed,ConnectionRefusedError
330,13:21:55.996748,2.1451,0,0,failed,ConnectionRefusedError
326,13:21:55.996912,2.1457,0,0,failed,ConnectionRefusedError
